At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,"In-person practical, Remote (online) lecture, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
staff member,"Undergraduate student, Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Video tutorials, Blogs",,
staff member,"Undergraduate student, Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues",
staff member,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, Remote (online) lecture, Written tutorials",,
staff member,"Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop",,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Written tutorials, Video tutorials","Third-party online guidance, Institutional support (e.g. code clinics, RSE drop-in sessions)",
University of Manchester,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues",
University of Manchester,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture","Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
London School of Economics,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical","Third-party online guidance, Colleagues",
London School of Economics,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Colleagues",
University of Manchester,Postgraduate Masters student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Colleagues",
University of Manchester,Postgraduate Masters student,Novice,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues",
